papel,tipo,empresa,setor,sub_setor,valor_de_mercado,valor_da_firma,ultimo_balanco,numero_de_acoes,ultima_cotacao,pl,p_vp,psr,div_yeld,p_ativo,p_cap_giro,p_ebit,p_ativo_circ_liq,ev_ebit,ev_ebitda,mrg_ebit,mrg_liq,liq_corr,roic,roe,liq_2_meses,patrim_liq,div_brut_patrim,cresc_rec_5a
ABCB4,PN N2,ABC Brasil PN N2,Financeiros,Bancos,2.919.460.000,-,30/06/2020,218.359.000,"13,37","6,97","0,71","0,000","4,86%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","10,23%","9.910.780,00","4.093.300.000,00","0,00","2,77%"
RSUL4,PN,METALURGICA RIOSULENSE S/A PN,Material de Transporte,Material Rodoviário,124.762.000,127.092.000,30/06/2020,583.000,"214,00","6,98","21,29","0,770","0,00%","0,636","-2,42","5,44","-0,96","5,54","4,49","14,15%","11,04%","0,54","12,16%","305,14%","5.526,91","5.859.000,00","0,72","12,14%"
CESP5,PNA,CESP CIA ENERGETICA SAO PAULO PNA,Energia Elétrica,Energia Elétrica,10.647.100.000,11.654.300.000,30/06/2020,327.503.000,"32,51","7,02","1,48","5,937","5,69%","0,832","25,53","16,47","-2,39","18,03","11,05","36,04%","84,58%","1,56","5,39%","21,14%","7.407,00","7.176.750.000,00","0,25","-4,60%"
COCE6,PNB,CIA ENERG CEARA - COELCE PNB,Energia Elétrica,Energia Elétrica,2.724.920.000,5.249.410.000,30/06/2020,77.855.000,"35,00","7,10","0,87","0,483","0,00%","0,287","-17,75","4,85","-0,77","9,35","6,13","9,95%","6,80%","0,95","6,67%","12,21%","0,00","3.142.550.000,00","0,91","9,57%"
BMEB4,PN,BANCO MERCANTIL DO BRASIL S/A PN,Financeiros,Bancos,1.016.870.000,-,30/06/2020,52.416.000,"19,40","7,12","1,06","0,000","3,54%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","14,96%","443.827,00","955.021.000,00","0,00","6,84%"
CSRN6,PNB,COSERN PNB,Energia Elétrica,Energia Elétrica,2.806.840.000,4.247.840.000,30/09/2020,168.074.000,"16,70","7,15","2,14","0,866","1,09%","0,604","6,51","4,91","-1,24","7,43","6,30","17,64%","12,11%","1,68","14,26%","29,93%","5.088,42","1.311.000.000,00","1,41","12,48%"
BEES3,ON,BANESTES S/A ON,Financeiros,Bancos,1.649.070.000,-,30/06/2020,315.913.000,"5,22","7,19","1,04","0,000","4,34%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","14,49%","172.314,00","1.583.940.000,00","0,00","9,35%"
TAEE3,ON N2,TAESA ON N2,Energia Elétrica,Energia Elétrica,9.807.880.000,15.118.200.000,30/06/2020,1.033.500.000,"9,49","7,34","1,81","3,969","8,48%","0,725","3,70","6,90","-2,29","10,64","10,54","57,48%","54,12%","3,23","11,88%","24,70%","607.287,00","5.412.410.000,00","1,26","14,47%"
BTTL3,ON,APABA ON,Holdings Diversificadas,Holdings Diversificadas,170.604.000,199.486.000,30/06/2020,14.861.000,"11,48","7,36","11,73","0,822","0,00%","1,159","230,55","8,31","-2,33","9,72","9,72","9,89%","11,17%","1,01","17,53%","159,23%","144.852,00","14.549.000,00","2,90","1,75%"
TAEE11,UNT,TAESA UNT,Energia Elétrica,Energia Elétrica,9.849.220.000,15.159.500.000,30/06/2020,1.033.500.000,"28,59","7,37","1,82","3,985","8,44%","0,728","3,71","6,93","-2,30","10,67","10,57","57,48%","54,12%","3,23","11,88%","24,70%","72.766.500,00","5.412.410.000,00","1,26","14,47%"
TAEE4,PN N2,TAESA PN N2,Energia Elétrica,Energia Elétrica,9.869.890.000,15.180.200.000,30/06/2020,1.033.500.000,"9,55","7,38","1,82","3,994","8,42%","0,729","3,72","6,95","-2,31","10,69","10,58","57,48%","54,12%","3,23","11,88%","24,70%","1.207.790,00","5.412.410.000,00","1,26","14,47%"
